Property ID in AVL packet Property ID in AVL packet,Property Name Property Name,Bytes Bytes,Type Type,Value range Min,Value range Max,Units Units,Parameter Group Parameter Group
28,BLE Temperature #4,2,Signed,-4000,12500,°C,Bluetooth Low Energy
29,BLE Battery #1,1,Unsigned,0,100,%,Bluetooth Low Energy
20,BLE Battery #2,1,Unsigned,0,100,%,Bluetooth Low Energy
22,BLE Battery #3,1,Unsigned,0,100,%,Bluetooth Low Energy
23,BLE Battery #4,1,Unsigned,0,100,%,Bluetooth Low Energy
86,BLE Humidity #1,2,Unsigned,0,1000,%RH,Bluetooth Low Energy
104,BLE Humidity #2,2,Unsigned,0,1000,%RH,Bluetooth Low Energy
106,BLE Humidity #3,2,Unsigned,0,1000,%RH,Bluetooth Low Energy
108,BLE Humidity #4,2,Unsigned,0,1000,%RH,Bluetooth Low Energy
270,BLE Fuel Level #1,2,Unsigned,0,65535,-,Bluetooth Low Energy
273,BLE Fuel Level #2,2,Unsigned,0,65535,-,Bluetooth Low Energy
276,BLE Fuel Level #3,2,Unsigned,0,65535,-,Bluetooth Low Energy
279,BLE Fuel Level #4,2,Unsigned,0,65535,-,Bluetooth Low Energy
306,BLE Fuel Frequency #1,4,Unsigned,0,2147483647,-,Bluetooth Low Energy
307,BLE Fuel Frequency #2,4,Unsigned,0,2147483647,-,Bluetooth Low Energy
308,BLE Fuel Frequency #3,4,Unsigned,0,2147483647,-,Bluetooth Low Energy
309,BLE Fuel Frequency #4,4,Unsigned,0,2147483647,-,Bluetooth Low Energy
335,BLE Luminosity #1,2,Unsigned,0,0xFFFF,lx,Bluetooth Low Energy
336,BLE Luminosity #2,2,Unsigned,0,0xFFFF,lx,Bluetooth Low Energy
337,BLE Luminosity #3,2,Unsigned,0,0xFFFF,lx,Bluetooth Low Energy
338,BLE Luminosity #4,2,Unsigned,0,0xFFFF,lx,Bluetooth Low Energy
331,BLE 1 Custom #1,Variable,HEX,0,-,-,Bluetooth Low Energy
463,BLE 1 Custom #2,4,UNSIGNED LONG INT,0,4294967295,-,Bluetooth Low Energy
464,BLE 1 Custom #3,4,UNSIGNED LONG INT,0,4294967295,-,Bluetooth Low Energy
465,BLE 1 Custom #4,4,UNSIGNED LONG INT,0,4294967295,-,Bluetooth Low Energy
466,BLE 1 Custom #5,4,UNSIGNED LONG INT,0,4294967295,-,Bluetooth Low Energy
332,BLE 2 Custom #1,Variable,HEX,0,-,-,Bluetooth Low Energy
467,BLE 2 Custom #2,4,UNSIGNED LONG INT,0,4294967295,-,Bluetooth Low Energy
468,BLE 2 Custom #3,4,UNSIGNED LONG INT,0,4294967295,-,Bluetooth Low Energy
469,BLE 2 Custom #4,4,UNSIGNED LONG INT,0,4294967295,-,Bluetooth Low Energy
